,id,Name,Gender,Account created at,Bio-cluster,Tweet cluster,Sentiment,Verification Status,Followers Network Metrics,Number of Followers,Friends Network-metrics,Total Tweet activity,Retweet count,Activity status,Media attachments,Source of tweet,Location
71,1526623355931176967,Jorn 🏳️‍🌈 Six-Shooter 🇺🇦,F,2017,cluster0,Topic3,Neutral,False,Not Influential,875,1318,22200,0,Highly active,No Media Attached,Twitter for Android,"Netherlands, Europe, Sol 3"
72,1526622809161621505,Edwin Black,N,2019,cluster0,Topic3,Positive,False,Not Influential,361,1048,9909,0,Highly active,No Media Attached,Twitter Web App,Elsewhere
73,1526621918236901378,Ze JC_Laborie,F,2013,cluster0,Topic0,Neutral,False,Not Influential,690,1642,24766,0,Highly active,No Media Attached,Twitter for Android,Mes tweets n'engage que moi
74,1526620636956831744,Ricardo,M,2018,cluster0,Topic3,Neutral,False,Not Influential,94,1033,2811,0,Highly active,No Media Attached,Twitter for iPhone,"São Paulo, Brasil"
75,1526619675777544193,Graham,M,2017,cluster3,Topic3,Neutral,False,Not Influential,3299,4978,36505,0,Highly active,No Media Attached,Twitter Web App,
76,1526618230982328325,Mulla,F,2020,cluster0,Topic3,Neutral,False,Not Influential,1,46,100,0,Highly active,No Media Attached,Twitter for iPhone,
77,1526617909530767363,ronnie james diogenes,F,2018,cluster0,Topic0,Neutral,False,Not Influential,1398,1381,28303,0,Highly active,No Media Attached,Twitter for Android,"Oregon, USA"
78,1526615501392080898,ゆきそ🍥,Unknown,2021,cluster0,Topic3,negative,False,Not Influential,19,66,1032,0,Highly active,No Media Attached,Twitter for Android,"新宿,東京"
79,1526614641954070530,شھاب باجوہ,Unknown,2020,cluster0,Topic3,Neutral,False,Not Influential,0,27,15,0,Not that active,No Media Attached,Twitter for Android,"Gujranwala, Pakistan"
80,1526611451053453313,v k Mehra,M,2016,cluster0,Topic3,Neutral,False,Not Influential,94,915,9090,0,Highly active,No Media Attached,Twitter for Android,
81,1526610998337187841,Neshh7🏧,Unknown,2013,cluster5,Topic3,Neutral,False,Not Influential,28,123,2637,0,Highly active,No Media Attached,Twitter for Android,"Quito, Ecuador"
82,1526608671832145921,Macho Man Dan-dy Savage,M,2013,cluster0,Topic3,Neutral,False,Not Influential,283,357,14871,0,Highly active,No Media Attached,Twitter for iPhone,
83,1526607517823926274,Daiset,F,2011,cluster0,Topic3,Neutral,False,Not Influential,329,1002,15894,0,Highly active,No Media Attached,Twitter for Android,"Moaña, España"
84,1526599934333657089,GoodPeopleBadLeaders,Unknown,2022,cluster0,Topic3,Neutral,False,Not Influential,16,1,3353,0,Highly active,No Media Attached,Twitter Web App,
85,1526598034326364160,His Master's Rasters,F,2022,cluster0,Topic1,Neutral,False,Not Influential,113,162,1355,0,Highly active,No Media Attached,Twitter for Android,
86,1526597535145463808,Sonia F. Khan,F,2009,cluster0,Topic3,Neutral,False,Not Influential,4008,2171,253489,0,Highly active,No Media Attached,Twitter for Android,"Fremont, CA"
87,1526596911502962689,moldham56,M,2009,cluster0,Topic0,Neutral,False,Not Influential,95,447,1654,0,Highly active,No Media Attached,Twitter for Android,Texas
88,1526595199337697280,hamad95m🆘,Unknown,2016,cluster0,Topic3,Neutral,False,Not Influential,605,695,1321,0,Highly active,No Media Attached,Twitter for iPhone,
89,1526592747460644871,Ishfaq,Unknown,2012,cluster0,Topic3,Neutral,False,Not Influential,858,776,10607,0,Highly active,No Media Attached,Twitter for Android,🔗
90,1526591775980326912,Rob,F,2021,cluster0,Topic3,negative,False,Not Influential,24,212,4137,0,Highly active,No Media Attached,Twitter for Android,United Kingdom
91,1526591020170887168,Erin Hanzo,F,2016,cluster0,Topic0,Neutral,False,Not Influential,986,4002,23960,0,Highly active,No Media Attached,Twitter for Android,"Donegal, Ireland"
92,1526589834864709632,Phiam Ash,F,2008,cluster0,Topic2,Positive,False,Not Influential,320,1620,8326,0,Highly active,No Media Attached,Twitter Web App,"Burbank, CA"
93,1526589612977754114,Corey Salzano,F,2008,cluster3,Topic0,Positive,False,Not Influential,536,808,6339,0,Highly active,No Media Attached,Twitter Web App,Pennsylvania
94,1526589206054989824,~அருண்,Unknown,2011,cluster0,Topic3,Positive,False,Not Influential,519,1110,10310,0,Highly active,No Media Attached,Twitter for Android,தமிழ்நாடு
95,1526587449274671104,TONY,F,2011,cluster3,Topic3,Neutral,False,Not Influential,355,362,5216,0,Highly active,No Media Attached,Twitter for iPhone,"Mars, Milky Way"
96,1526585713952710657,Riddles_SSBU(RGV),Unknown,2022,cluster0,Topic3,Positive,False,Not Influential,69,77,110,0,Highly active,No Media Attached,Twitter for Android,
97,1526585706893946880,Sridhar,M,2019,cluster0,Topic0,Neutral,False,Not Influential,20,501,15,0,Not that active,No Media Attached,Twitter Web App,
98,1526585045829419008,.,Unknown,2018,cluster0,Topic3,Positive,False,Not Influential,831,645,12866,0,Highly active,No Media Attached,Twitter for iPhone, she/her 20
99,1526584092954869760,Marie tell me something good,F,2011,cluster0,Topic3,Neutral,False,Not Influential,274,867,2707,0,Highly active,No Media Attached,Twitter for iPhone,"York, PA"
100,1526582897313980416,Pete,F,2018,cluster3,Topic0,Neutral,False,Not Influential,772,185,6684,0,Highly active,No Media Attached,Twitter for iPad,Cyprus  🇨🇾 
101,1526582098794102788,Petrarca,Unknown,2014,cluster0,Topic4,Neutral,False,Not Influential,223,1655,19366,0,Highly active,No Media Attached,Twitter for Android,Seeking Laura
102,1526581234368921600,Thomas Walker supports Choice for My Daughters!,F,2015,cluster0,Topic3,Neutral,False,Not Influential,293,981,7889,0,Highly active,No Media Attached,Twitter for iPhone,Texas
103,1526580177525940226,Connell,F,2021,cluster0,Topic1,Neutral,False,Not Influential,28,112,1041,0,Highly active,No Media Attached,Twitter for Android,
104,1526578140113420288,scmom2jrjr 😎🌊🌊🌊🇺🇸,Unknown,2018,cluster2,Topic3,Neutral,False,Not Influential,369,822,15032,0,Highly active,No Media Attached,Twitter for iPad,SC USA
105,1526575707060682753,Dustin🥭,F,2021,cluster0,Topic3,Neutral,False,Not Influential,1579,1682,9543,0,Highly active,No Media Attached,Twitter Web App,Nova Scotia
106,1526575595403890689,DarkNite0811,F,2017,cluster0,Topic3,Neutral,False,Not Influential,25,84,3233,0,Highly active,No Media Attached,Twitter for Android,
107,1526575489858535425,Shailaja Anchan,F,2022,cluster0,Topic0,Neutral,False,Not Influential,233,171,2316,0,Highly active,No Media Attached,Twitter for Android,"Karnataka, India"
108,1526575147712389120,Shaikh Muktar,M,2022,cluster0,Topic3,Neutral,False,Not Influential,108,1393,891,0,Highly active,No Media Attached,Twitter for Android,
109,1526574251662266368,MoMoore,M,2021,cluster0,Topic3,Neutral,False,Not Influential,2,40,5,0,Not that active,No Media Attached,Twitter for Android,
110,1526574185014779905,fresh.waffle,Unknown,2020,cluster0,Topic2,Neutral,False,Not Influential,14,113,260,0,Highly active,No Media Attached,Twitter for iPhone,Somewhere on Earth
111,1526573904054996992,bilzeen👽,Unknown,2021,cluster5,Topic3,negative,False,Not Influential,257,299,1722,0,Highly active,No Media Attached,Twitter for Android,Los Angeles
112,1526572922395152384,CyberGriffin is Boosted and Masked 🇺🇦,Unknown,2020,cluster0,Topic5,Neutral,False,Not Influential,160,1355,2630,0,Highly active,No Media Attached,Twitter Web App,
113,1526571560978481155,Bone Dad 3,F,2011,cluster0,Topic3,Positive,False,Not Influential,42,429,1913,0,Highly active,No Media Attached,Twitter for Android,
114,1526570497093378049,Ish,M,2017,cluster0,Topic5,Neutral,False,Not Influential,247,728,14154,0,Highly active,No Media Attached,Twitter Web App,
115,1526568334908657666,James e howard,F,2022,cluster0,Topic4,Neutral,False,Not Influential,0,12,13,0,Not that active,No Media Attached,Twitter for iPhone,
116,1526567712154996736,Mark My Words,M,2019,cluster0,Topic3,Positive,False,Not Influential,101,172,5551,0,Highly active,No Media Attached,Twitter for iPhone,"California, USA"
117,1526567561822883840,Cat Mom Wants Victory for 🇺🇦,F,2022,cluster0,Topic3,Neutral,False,Not Influential,250,1475,9962,0,Highly active,No Media Attached,Twitter for iPhone,
118,1526567242955075584,Angad Gogna,M,2021,cluster0,Topic0,Neutral,False,Not Influential,13,155,771,0,Highly active,No Media Attached,Twitter for Android,"Durham, NC"
119,1526565792548270080,Æi,Unknown,2021,cluster0,Topic3,Neutral,False,Not Influential,5,69,157,0,Highly active,No Media Attached,Twitter for iPhone,
120,1526565310660087808,Deuxieme Fois,M,2013,cluster0,Topic3,Neutral,False,Not Influential,751,469,15739,0,Highly active,No Media Attached,Twitter for Android,México Distrito Federal
121,1526564492062216193,MaTheRaptor🦖,Unknown,2021,cluster0,Topic3,Neutral,False,Not Influential,860,802,29046,0,Highly active,No Media Attached,Twitter for Android,"Toscana, Italia"
122,1526563577167224832,it's fake,F,2021,cluster0,Topic3,Neutral,False,Not Influential,18,117,1999,0,Highly active,No Media Attached,Twitter for Android,
